purchase_id,customer_id,product_id,purchase_date,quantity
PUR00048,CUST0810,PROD0143,2024-04-29 05:16:34.158693,5
PUR00049,CUST0913,PROD0005,2024-03-29 05:16:34.158693,5
PUR00050,CUST0101,PROD0083,2024-09-07 05:16:34.158693,2
PUR00051,CUST0502,PROD0182,2024-10-31 05:16:34.158693,5
PUR00052,CUST0304,PROD0051,2024-03-27 05:16:34.158693,4
PUR00053,CUST0871,PROD0010,2024-08-17 05:16:34.158693,5
PUR00054,CUST0540,PROD0140,2023-11-12 05:16:34.158693,5
PUR00055,CUST0553,PROD0004,2024-07-28 05:16:34.158693,2
PUR00056,CUST0355,PROD0095,2024-02-12 05:16:34.158693,4
PUR00057,CUST0303,PROD0146,2023-12-20 05:16:34.158693,3
PUR00058,CUST0496,PROD0080,2024-03-09 05:16:34.158693,1
PUR00059,CUST0658,PROD0036,2024-06-02 05:16:34.158693,4
PUR00060,CUST0768,PROD0025,2024-07-14 05:16:34.158693,3
PUR00061,CUST0974,PROD0098,2024-08-17 05:16:34.158693,4
PUR00062,CUST0227,PROD0164,2024-03-09 05:16:34.158693,3
PUR00063,CUST0236,PROD0101,2024-10-25 05:16:34.158693,3
PUR00064,CUST0873,PROD0195,2024-07-07 05:16:34.158693,4
PUR00065,CUST0892,PROD0009,2024-10-02 05:16:34.158693,2
PUR00066,CUST0455,PROD0061,2024-11-05 05:16:34.158693,4
PUR00067,CUST0013,PROD0053,2024-07-15 05:16:34.158693,4
PUR00068,CUST0210,PROD0146,2024-06-23 05:16:34.158693,3
PUR00069,CUST0741,PROD0171,2023-11-15 05:16:34.158693,1
PUR00070,CUST0397,PROD0163,2023-12-24 05:16:34.158693,3
PUR00071,CUST0100,PROD0063,2024-04-05 05:16:34.158693,5
PUR00072,CUST0031,PROD0121,2024-02-28 05:16:34.158693,4
PUR00073,CUST0898,PROD0105,2024-06-01 05:16:34.158693,4
PUR00074,CUST0528,PROD0004,2024-10-26 05:16:34.158693,2
PUR00075,CUST0649,PROD0093,2024-03-10 05:16:34.158693,3
PUR00076,CUST0329,PROD0169,2024-04-11 05:16:34.158693,2
PUR00077,CUST0166,PROD0173,2024-10-11 05:16:34.158693,4
PUR00078,CUST0459,PROD0178,2024-08-30 05:16:34.158693,3
PUR00079,CUST0822,PROD0028,2024-05-13 05:16:34.158693,3
PUR00080,CUST0952,PROD0170,2024-07-06 05:16:34.158693,5
PUR00081,CUST0982,PROD0080,2024-08-16 05:16:34.158693,5
PUR00082,CUST0993,PROD0076,2024-08-04 05:16:34.158693,1
PUR00083,CUST0100,PROD0116,2024-05-01 05:16:34.158693,5
PUR00084,CUST0621,PROD0069,2024-06-11 05:16:34.158693,3
PUR00085,CUST0855,PROD0098,2024-08-14 05:16:34.158693,5
PUR00086,CUST0173,PROD0001,2024-04-24 05:16:34.158693,1
PUR00087,CUST0749,PROD0167,2024-05-05 05:16:34.158693,4
PUR00088,CUST0162,PROD0096,2024-10-31 05:16:34.158693,5
PUR00089,CUST0905,PROD0017,2024-06-26 05:16:34.158693,3
PUR00090,CUST0728,PROD0112,2024-03-24 05:16:34.158693,4
PUR00091,CUST0776,PROD0091,2024-04-11 05:16:34.158693,3
PUR00092,CUST0263,PROD0088,2024-03-14 05:16:34.158693,4
PUR00093,CUST0804,PROD0163,2024-03-04 05:16:34.158693,3
PUR00094,CUST0274,PROD0174,2024-01-07 05:16:34.158693,5
PUR00095,CUST0003,PROD0170,2024-02-13 05:16:34.158693,5
PUR00096,CUST0028,PROD0167,2024-04-16 05:16:34.158693,1
PUR00097,CUST0326,PROD0090,2024-01-07 05:16:34.158693,4
PUR00098,CUST0940,PROD0049,2024-08-07 05:16:34.158693,1
PUR00099,CUST0149,PROD0190,2024-10-25 05:16:34.158693,2
PUR00100,CUST0540,PROD0038,2024-02-09 05:16:34.158693,5
PUR00101,CUST0488,PROD0151,2024-02-13 05:16:34.158693,4
PUR00102,CUST0822,PROD0150,2024-02-25 05:16:34.158693,1
PUR00103,CUST0438,PROD0132,2024-07-11 05:16:34.158693,1
PUR00104,CUST0065,PROD0177,2024-03-27 05:16:34.158693,2
PUR00105,CUST0356,PROD0059,2024-09-03 05:16:34.158693,1
PUR00106,CUST0533,PROD0068,2024-08-01 05:16:34.158693,3
PUR00107,CUST0252,PROD0199,2024-09-07 05:16:34.158693,5
PUR00108,CUST0235,PROD0130,2024-03-30 05:16:34.158693,1
PUR00109,CUST0227,PROD0049,2023-12-28 05:16:34.158693,1
PUR00110,CUST0525,PROD0126,2024-02-14 05:16:34.158693,2
PUR00111,CUST0313,PROD0159,2024-04-06 05:16:34.158693,3
PUR00112,CUST0049,PROD0111,2024-03-02 05:16:34.158693,1
PUR00113,CUST0118,PROD0168,2024-05-09 05:16:34.158693,5
PUR00114,CUST0054,PROD0048,2024-02-06 05:16:34.158693,5
PUR00115,CUST0650,PROD0051,2024-04-09 05:16:34.158693,1
PUR00116,CUST0565,PROD0043,2023-11-14 05:16:34.158693,3
PUR00117,CUST0044,PROD0098,2024-11-03 05:16:34.158693,5
PUR00118,CUST0815,PROD0183,2024-08-06 05:16:34.158693,5
PUR00119,CUST0053,PROD0177,2024-01-10 05:16:34.158693,3
PUR00120,CUST0586,PROD0124,2024-03-26 05:16:34.158693,3
PUR00121,CUST0558,PROD0080,2023-11-30 05:16:34.158693,1
PUR00122,CUST0525,PROD0185,2023-12-04 05:16:34.158693,4
PUR00123,CUST0677,PROD0111,2024-08-16 05:16:34.158693,2
PUR00124,CUST0102,PROD0143,2024-04-04 05:16:34.158693,4
PUR00125,CUST0792,PROD0027,2024-10-29 05:16:34.158693,4
PUR00126,CUST0770,PROD0196,2024-01-10 05:16:34.158693,5
PUR00127,CUST0982,PROD0192,2024-09-28 05:16:34.158693,3
PUR00128,CUST0849,PROD0158,2024-07-15 05:16:34.158693,5
PUR00129,CUST0868,PROD0164,2023-12-29 05:16:34.158693,2
PUR00130,CUST0398,PROD0195,2023-11-13 05:16:34.158693,1
PUR00131,CUST0138,PROD0113,2024-08-26 05:16:34.158693,2
PUR00132,CUST0675,PROD0086,2024-03-31 05:16:34.158693,5
PUR00133,CUST0921,PROD0114,2024-07-04 05:16:34.158693,5
PUR00134,CUST0387,PROD0124,2024-07-09 05:16:34.158693,5
PUR00135,CUST0111,PROD0049,2024-06-19 05:16:34.158693,5
PUR00136,CUST0614,PROD0076,2024-04-29 05:16:34.158693,4
PUR00137,CUST0017,PROD0055,2024-02-09 05:16:34.158693,1
PUR00138,CUST0780,PROD0056,2023-12-03 05:16:34.158693,4
PUR00139,CUST0182,PROD0196,2024-03-15 05:16:34.158693,5
PUR00140,CUST0884,PROD0095,2024-07-08 05:16:34.158693,3
PUR00141,CUST0536,PROD0044,2024-01-04 05:16:34.158693,4
PUR00142,CUST0541,PROD0159,2023-12-10 05:16:34.158693,5
PUR00143,CUST0171,PROD0186,2024-05-30 05:16:34.158693,5
PUR00144,CUST0409,PROD0087,2024-07-15 05:16:34.158693,1
PUR00145,CUST0740,PROD0181,2023-12-14 05:16:34.158693,2
PUR00146,CUST0378,PROD0084,2024-08-28 05:16:34.158693,4
PUR00147,CUST0188,PROD0151,2024-09-24 05:16:34.158693,4
PUR00148,CUST0858,PROD0156,2024-10-23 05:16:34.158693,4
PUR00149,CUST0230,PROD0016,2023-12-04 05:16:34.158693,5
PUR00150,CUST0833,PROD0165,2024-01-23 05:16:34.158693,1
PUR00151,CUST0852,PROD0149,2024-01-22 05:16:34.158693,5
PUR00152,CUST0119,PROD0145,2024-08-21 05:16:34.158693,5
PUR00153,CUST0156,PROD0037,2024-04-10 05:16:34.158693,3
PUR00154,CUST0784,PROD0077,2023-12-20 05:16:34.158693,1
PUR00155,CUST0687,PROD0147,2024-03-13 05:16:34.158693,4
PUR00156,CUST0465,PROD0158,2024-01-06 05:16:34.158693,2
PUR00157,CUST0104,PROD0045,2024-08-18 05:16:34.158693,4
PUR00158,CUST0604,PROD0146,2024-06-07 05:16:34.158693,5
PUR00159,CUST0698,PROD0062,2024-09-12 05:16:34.158693,1
PUR00160,CUST0972,PROD0164,2024-09-07 05:16:34.158693,1
PUR00161,CUST0795,PROD0100,2024-09-18 05:16:34.158693,1
PUR00162,CUST0502,PROD0052,2024-03-01 05:16:34.158693,3
PUR00163,CUST0693,PROD0019,2024-07-31 05:16:34.158693,4
PUR00164,CUST0682,PROD0109,2024-05-19 05:16:34.158693,3
PUR00165,CUST0699,PROD0044,2024-06-24 05:16:34.158693,2
PUR00166,CUST0175,PROD0007,2024-06-20 05:16:34.158693,5
PUR00167,CUST0734,PROD0172,2024-04-07 05:16:34.158693,3
PUR00168,CUST0745,PROD0117,2024-09-03 05:16:34.158693,3
PUR00169,CUST0674,PROD0068,2024-06-13 05:16:34.158693,5
PUR00170,CUST0421,PROD0034,2024-04-11 05:16:34.158693,1
PUR00171,CUST0134,PROD0194,2024-08-24 05:16:34.158693,5
PUR00172,CUST0391,PROD0069,2024-09-19 05:16:34.158693,4
PUR00173,CUST0992,PROD0055,2023-12-07 05:16:34.158693,5
PUR00174,CUST0736,PROD0010,2024-09-14 05:16:34.158693,1
PUR00175,CUST0501,PROD0042,2023-12-27 05:16:34.158693,5
PUR00176,CUST0665,PROD0041,2024-02-21 05:16:34.158693,3
PUR00177,CUST0033,PROD0197,2024-09-22 05:16:34.158693,2
PUR00178,CUST0055,PROD0122,2024-02-23 05:16:34.158693,3
PUR00179,CUST0954,PROD0138,2024-03-21 05:16:34.158693,2
PUR00180,CUST0519,PROD0010,2024-10-10 05:16:34.158693,5
PUR00181,CUST0756,PROD0102,2023-12-18 05:16:34.158693,4
PUR00182,CUST0825,PROD0188,2024-01-26 05:16:34.158693,5
PUR00183,CUST0638,PROD0128,2024-03-08 05:16:34.158693,1
PUR00184,CUST0012,PROD0179,2024-02-03 05:16:34.158693,5
PUR00185,CUST0528,PROD0149,2024-08-15 05:16:34.158693,2
PUR00186,CUST0720,PROD0136,2023-12-15 05:16:34.158693,3
PUR00187,CUST0555,PROD0193,2024-01-26 05:16:34.158693,4
PUR00188,CUST0373,PROD0092,2023-11-08 05:16:34.158693,5
PUR00189,CUST0484,PROD0113,2024-06-03 05:16:34.158693,5
PUR00190,CUST0973,PROD0078,2024-06-24 05:16:34.158693,3
PUR00191,CUST0647,PROD0085,2024-10-24 05:16:34.158693,4
PUR00192,CUST0228,PROD0030,2024-09-06 05:16:34.158693,5
PUR00193,CUST0623,PROD0049,2024-07-04 05:16:34.158693,5
PUR00194,CUST0307,PROD0009,2024-04-04 05:16:34.158693,2
PUR00195,CUST0457,PROD0145,2023-11-23 05:16:34.158693,2
PUR00196,CUST0160,PROD0069,2024-03-04 05:16:34.158693,1
PUR00197,CUST0331,PROD0058,2024-04-02 05:16:34.158693,3
PUR00198,CUST0776,PROD0185,2024-11-02 05:16:34.158693,4
PUR00199,CUST0225,PROD0062,2024-03-30 05:16:34.158693,5
PUR00200,CUST0983,PROD0052,2024-10-31 05:16:34.158693,5
PUR00201,CUST0729,PROD0189,2024-06-26 05:16:34.158693,1
PUR00202,CUST0504,PROD0040,2023-12-13 05:16:34.158693,5
PUR00203,CUST0456,PROD0166,2024-10-23 05:16:34.158693,3
PUR00204,CUST0045,PROD0171,2024-03-05 05:16:34.158693,1
PUR00205,CUST0214,PROD0063,2024-03-21 05:16:34.158693,3
PUR00206,CUST0059,PROD0147,2024-09-22 05:16:34.158693,1
PUR00207,CUST0644,PROD0050,2024-09-03 05:16:34.158693,5
PUR00208,CUST0616,PROD0161,2024-10-10 05:16:34.158693,1
PUR00209,CUST0195,PROD0141,2024-02-16 05:16:34.158693,2
PUR00210,CUST0925,PROD0078,2024-06-11 05:16:34.158693,4
PUR00211,CUST0489,PROD0097,2024-01-04 05:16:34.158693,5
PUR00212,CUST0157,PROD0190,2024-08-11 05:16:34.158693,4
PUR00213,CUST0610,PROD0043,2024-03-01 05:16:34.158693,5
PUR00214,CUST0226,PROD0177,2024-10-03 05:16:34.158693,4
PUR00215,CUST0412,PROD0036,2024-01-22 05:16:34.158693,2
PUR00216,CUST0205,PROD0122,2024-03-22 05:16:34.158693,4
PUR00217,CUST0079,PROD0108,2024-01-18 05:16:34.158693,1
PUR00218,CUST0124,PROD0010,2023-12-13 05:16:34.158693,4
PUR00219,CUST0471,PROD0095,2023-12-07 05:16:34.158693,5
PUR00220,CUST0940,PROD0006,2024-01-30 05:16:34.158693,3
PUR00221,CUST0218,PROD0057,2024-04-12 05:16:34.158693,4
PUR00222,CUST0516,PROD0129,2024-09-06 05:16:34.158693,4
PUR00223,CUST0602,PROD0071,2024-08-24 05:16:34.158693,4
PUR00224,CUST0104,PROD0186,2024-04-02 05:16:34.158693,5
PUR00225,CUST0393,PROD0021,2024-06-18 05:16:34.158693,4
PUR00226,CUST0631,PROD0092,2024-01-09 05:16:34.158693,5
PUR00227,CUST0645,PROD0127,2024-07-03 05:16:34.158693,5
PUR00228,CUST0824,PROD0080,2024-10-24 05:16:34.158693,3
PUR00229,CUST0608,PROD0056,2024-04-10 05:16:34.158693,1
PUR00230,CUST0980,PROD0116,2024-10-30 05:16:34.158693,5
PUR00231,CUST0434,PROD0148,2024-05-31 05:16:34.158693,2
PUR00232,CUST0331,PROD0182,2024-03-25 05:16:34.158693,4
PUR00233,CUST0143,PROD0025,2024-07-20 05:16:34.158693,2
PUR00234,CUST0800,PROD0156,2024-08-09 05:16:34.158693,4
PUR00235,CUST0540,PROD0005,2024-07-16 05:16:34.158693,3
PUR00236,CUST0278,PROD0120,2024-06-18 05:16:34.158693,5
PUR00237,CUST0233,PROD0021,2023-12-18 05:16:34.158693,1
PUR00238,CUST0529,PROD0018,2024-09-08 05:16:34.158693,5
PUR00239,CUST0571,PROD0175,2023-11-27 05:16:34.158693,4
PUR00240,CUST0090,PROD0198,2024-06-15 05:16:34.158693,1
PUR00241,CUST0492,PROD0057,2024-04-20 05:16:34.158693,5
PUR00242,CUST0199,PROD0093,2024-09-11 05:16:34.158693,1
PUR00243,CUST0362,PROD0019,2024-03-14 05:16:34.158693,4
PUR00244,CUST0441,PROD0128,2023-11-20 05:16:34.158693,3
PUR00245,CUST0026,PROD0097,2023-12-23 05:16:34.158693,3
PUR00246,CUST0025,PROD0193,2024-03-03 05:16:34.158693,5
PUR00247,CUST0394,PROD0131,2024-10-17 05:16:34.158693,2
PUR00248,CUST0507,PROD0170,2024-08-27 05:16:34.158693,4
PUR00249,CUST0301,PROD0021,2024-09-02 05:16:34.158693,5
PUR00250,CUST0339,PROD0040,2023-11-17 05:16:34.158693,5
PUR00251,CUST0267,PROD0067,2024-10-16 05:16:34.158693,3
PUR00252,CUST0461,PROD0153,2024-03-23 05:16:34.158693,1
PUR00253,CUST0693,PROD0127,2024-08-28 05:16:34.158693,4
PUR00254,CUST0456,PROD0055,2023-11-27 05:16:34.158693,1
PUR00255,CUST0360,PROD0180,2024-02-04 05:16:34.158693,4
PUR00256,CUST0068,PROD0172,2024-07-04 05:16:34.158693,2
PUR00257,CUST0863,PROD0109,2024-07-29 05:16:34.158693,3
PUR00258,CUST0412,PROD0098,2024-10-05 05:16:34.158693,2
PUR00259,CUST0971,PROD0184,2024-06-20 05:16:34.158693,5
PUR00260,CUST0491,PROD0183,2024-03-28 05:16:34.158693,3
PUR00261,CUST0833,PROD0112,2024-02-07 05:16:34.158693,5
PUR00262,CUST0049,PROD0198,2024-09-01 05:16:34.158693,2
PUR00263,CUST0687,PROD0115,2024-06-17 05:16:34.158693,4
PUR00264,CUST0564,PROD0117,2024-09-27 05:16:34.158693,5
PUR00265,CUST0102,PROD0087,2024-07-15 05:16:34.158693,1
PUR00266,CUST0216,PROD0081,2023-12-23 05:16:34.158693,4
PUR00267,CUST0438,PROD0066,2024-07-04 05:16:34.158693,4
PUR00268,CUST0700,PROD0019,2024-05-03 05:16:34.158693,2
PUR00269,CUST0569,PROD0135,2024-06-03 05:16:34.158693,2
PUR00270,CUST0559,PROD0118,2024-04-25 05:16:34.158693,3
PUR00271,CUST0159,PROD0191,2024-04-19 05:16:34.158693,3
PUR00272,CUST0489,PROD0042,2024-10-15 05:16:34.158693,1
PUR00273,CUST0686,PROD0042,2023-12-30 05:16:34.158693,4
PUR00274,CUST0242,PROD0059,2024-01-28 05:16:34.158693,1
PUR00275,CUST0794,PROD0020,2024-04-23 05:16:34.158693,1
PUR00276,CUST0753,PROD0073,2024-06-04 05:16:34.158693,2
PUR00277,CUST0882,PROD0017,2024-10-27 05:16:34.158693,1
PUR00278,CUST0005,PROD0027,2024-07-17 05:16:34.158693,1
PUR00279,CUST0596,PROD0175,2024-04-02 05:16:34.158693,5
PUR00280,CUST0820,PROD0002,2024-10-11 05:16:34.158693,3
PUR00281,CUST0361,PROD0063,2024-05-30 05:16:34.158693,3
PUR00282,CUST0459,PROD0062,2024-08-14 05:16:34.158693,4
PUR00283,CUST0248,PROD0100,2023-11-25 05:16:34.158693,3
PUR00284,CUST0566,PROD0019,2024-06-26 05:16:34.158693,4
PUR00285,CUST0673,PROD0017,2023-12-22 05:16:34.158693,5
PUR00286,CUST0946,PROD0069,2024-04-16 05:16:34.158693,3
PUR00287,CUST0422,PROD0167,2024-03-15 05:16:34.158693,5
PUR00288,CUST0923,PROD0117,2024-04-20 05:16:34.158693,3
PUR00289,CUST0738,PROD0199,2024-01-05 05:16:34.158693,3
PUR00290,CUST0015,PROD0081,2024-05-31 05:16:34.158693,5
PUR00291,CUST0736,PROD0039,2024-07-27 05:16:34.158693,1
PUR00292,CUST0573,PROD0036,2023-11-07 05:16:34.158693,1
PUR00293,CUST0122,PROD0168,2024-10-08 05:16:34.158693,1
PUR00294,CUST0277,PROD0173,2024-08-10 05:16:34.158693,1
PUR00295,CUST0558,PROD0132,2024-06-30 05:16:34.158693,3
PUR00296,CUST0453,PROD0153,2024-06-05 05:16:34.158693,2
PUR00297,CUST0390,PROD0197,2023-12-04 05:16:34.158693,5
PUR00298,CUST0294,PROD0158,2024-02-11 05:16:34.158693,2
PUR00299,CUST0574,PROD0196,2024-07-29 05:16:34.158693,2
PUR00300,CUST0598,PROD0029,2024-05-10 05:16:34.158693,4
PUR00301,CUST0446,PROD0196,2024-09-20 05:16:34.158693,1
PUR00302,CUST0210,PROD0051,2024-07-19 05:16:34.158693,3
PUR00303,CUST0590,PROD0152,2024-09-22 05:16:34.158693,1
PUR00304,CUST0714,PROD0014,2024-06-20 05:16:34.158693,1
PUR00305,CUST0302,PROD0069,2023-12-03 05:16:34.158693,2
PUR00306,CUST0909,PROD0146,2024-02-19 05:16:34.158693,4
PUR00307,CUST0223,PROD0170,2024-03-22 05:16:34.158693,1
PUR00308,CUST0734,PROD0057,2024-08-14 05:16:34.158693,5
PUR00309,CUST0003,PROD0012,2024-01-13 05:16:34.158693,5
PUR00310,CUST0990,PROD0017,2024-04-02 05:16:34.158693,1
PUR00311,CUST0518,PROD0030,2024-06-18 05:16:34.158693,2
PUR00312,CUST0093,PROD0088,2024-10-29 05:16:34.158693,2
PUR00313,CUST0520,PROD0099,2024-07-12 05:16:34.158693,3
PUR00314,CUST0428,PROD0023,2024-01-08 05:16:34.158693,4
PUR00315,CUST0493,PROD0129,2023-11-21 05:16:34.158693,2
PUR00316,CUST0235,PROD0079,2024-09-24 05:16:34.158693,3
PUR00317,CUST0620,PROD0032,2024-09-13 05:16:34.158693,5
PUR00318,CUST0161,PROD0009,2024-03-08 05:16:34.158693,5
PUR00319,CUST0721,PROD0015,2024-11-04 05:16:34.158693,5
PUR00320,CUST0752,PROD0156,2024-01-27 05:16:34.158693,1
PUR00321,CUST0331,PROD0152,2024-04-14 05:16:34.158693,4
PUR00322,CUST0333,PROD0188,2024-08-15 05:16:34.158693,3
PUR00323,CUST0050,PROD0163,2023-11-14 05:16:34.158693,4
PUR00324,CUST0523,PROD0027,2024-08-15 05:16:34.158693,1
PUR00325,CUST0863,PROD0109,2024-06-02 05:16:34.158693,3
PUR00326,CUST0668,PROD0076,2023-12-24 05:16:34.158693,3
PUR00327,CUST0492,PROD0148,2024-03-01 05:16:34.158693,2
PUR00328,CUST0582,PROD0065,2024-01-04 05:16:34.158693,4
PUR00329,CUST0681,PROD0177,2024-06-30 05:16:34.158693,4
PUR00330,CUST0272,PROD0109,2024-01-06 05:16:34.158693,2
PUR00331,CUST0580,PROD0129,2024-10-03 05:16:34.158693,5
PUR00332,CUST0867,PROD0010,2024-01-24 05:16:34.158693,1
PUR00333,CUST0252,PROD0047,2024-07-19 05:16:34.158693,4
PUR00334,CUST0560,PROD0123,2024-04-04 05:16:34.158693,2
PUR00335,CUST0696,PROD0059,2024-07-24 05:16:34.158693,3
PUR00336,CUST0832,PROD0096,2024-11-02 05:16:34.158693,2
PUR00337,CUST0699,PROD0190,2024-03-25 05:16:34.158693,5
PUR00338,CUST0090,PROD0103,2024-06-06 05:16:34.158693,1
PUR00339,CUST0446,PROD0124,2024-07-11 05:16:34.158693,5
PUR00340,CUST0332,PROD0086,2024-07-05 05:16:34.158693,3
PUR00341,CUST0139,PROD0146,2024-03-10 05:16:34.158693,3
PUR00342,CUST0357,PROD0112,2024-06-27 05:16:34.158693,3
PUR00343,CUST0601,PROD0174,2024-08-15 05:16:34.158693,3
PUR00344,CUST0274,PROD0160,2024-01-20 05:16:34.158693,2
PUR00345,CUST0019,PROD0027,2024-05-21 05:16:34.158693,3
PUR00346,CUST0983,PROD0018,2024-02-12 05:16:34.158693,3
PUR00347,CUST0311,PROD0167,2024-09-08 05:16:34.158693,2
PUR00348,CUST0870,PROD0177,2024-07-24 05:16:34.158693,3
PUR00349,CUST0886,PROD0082,2024-01-15 05:16:34.158693,5
PUR00350,CUST0978,PROD0172,2023-12-12 05:16:34.158693,5
PUR00351,CUST0154,PROD0072,2024-03-27 05:16:34.158693,4
PUR00352,CUST0390,PROD0054,2024-06-06 05:16:34.158693,5
PUR00353,CUST0260,PROD0162,2024-04-29 05:16:34.158693,1
PUR00354,CUST0620,PROD0071,2024-07-23 05:16:34.158693,1
PUR00355,CUST0883,PROD0164,2024-03-22 05:16:34.158693,1
PUR00356,CUST0797,PROD0146,2023-11-08 05:16:34.158693,2
PUR00357,CUST0571,PROD0038,2024-03-30 05:16:34.158693,5
PUR00358,CUST0125,PROD0187,2024-04-07 05:16:34.158693,1
PUR00359,CUST0354,PROD0137,2024-09-02 05:16:34.158693,4
PUR00360,CUST0273,PROD0200,2024-08-29 05:16:34.158693,2
PUR00361,CUST0619,PROD0179,2024-10-09 05:16:34.158693,4
PUR00362,CUST0811,PROD0035,2024-07-14 05:16:34.158693,5
PUR00363,CUST0245,PROD0082,2024-01-22 05:16:34.158693,3
PUR00364,CUST0848,PROD0133,2024-06-22 05:16:34.158693,4
PUR00365,CUST0450,PROD0142,2024-08-08 05:16:34.158693,3
PUR00366,CUST0930,PROD0158,2024-07-11 05:16:34.158693,2
PUR00367,CUST0247,PROD0004,2024-05-01 05:16:34.158693,4
PUR00368,CUST0520,PROD0167,2024-04-25 05:16:34.158693,4
PUR00369,CUST0141,PROD0192,2024-08-15 05:16:34.158693,2
PUR00370,CUST0362,PROD0153,2024-08-11 05:16:34.158693,2
PUR00371,CUST0008,PROD0156,2024-05-18 05:16:34.158693,1
PUR00372,CUST0478,PROD0194,2024-06-27 05:16:34.158693,5
PUR00373,CUST0352,PROD0150,2024-04-19 05:16:34.158693,4
PUR00374,CUST0996,PROD0159,2024-02-11 05:16:34.158693,4
PUR00375,CUST0495,PROD0023,2024-10-29 05:16:34.158693,2
PUR00376,CUST0606,PROD0048,2024-03-08 05:16:34.158693,2
PUR00377,CUST0833,PROD0148,2024-08-25 05:16:34.158693,5
PUR00378,CUST0427,PROD0125,2024-05-21 05:16:34.158693,2
PUR00379,CUST0039,PROD0166,2024-03-05 05:16:34.158693,3
PUR00380,CUST0593,PROD0055,2024-06-04 05:16:34.158693,3
PUR00381,CUST0187,PROD0068,2023-11-29 05:16:34.158693,3
PUR00382,CUST0596,PROD0088,2024-04-17 05:16:34.158693,3
PUR00383,CUST0600,PROD0001,2024-07-06 05:16:34.158693,5
PUR00384,CUST0754,PROD0135,2024-11-02 05:16:34.158693,4
PUR00385,CUST0854,PROD0185,2024-05-20 05:16:34.158693,3
PUR00386,CUST0093,PROD0095,2024-05-22 05:16:34.158693,2
PUR00387,CUST0086,PROD0140,2024-10-11 05:16:34.158693,3
